NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHR17Q24	CHR17Q24		71	-0.25706467	-1.136593	0.27272728	0.63685316	1.0	8053	tags=35%, list=28%, signal=49%	
CHR10P12	CHR10P12		83	-0.27591532	-1.1329341	0.28225806	0.6376684	1.0	6853	tags=35%, list=24%, signal=46%	
CHR10Q26	CHR10Q26		136	-0.24782383	-1.1302949	0.2516129	0.6368929	1.0	8108	tags=38%, list=29%, signal=52%	
CHR16P12	CHR16P12		134	-0.2528007	-1.1292539	0.25170067	0.63134235	1.0	7807	tags=37%, list=27%, signal=51%	
CHR10P14	CHR10P14		31	-0.32642192	-1.1251547	0.27753305	0.63455063	1.0	11175	tags=48%, list=39%, signal=80%	
CHR18Q21	CHR18Q21		122	-0.2295263	-1.1238108	0.23655914	0.6301751	1.0	9056	tags=34%, list=32%, signal=49%	
CHR3Q21	CHR3Q21		111	-0.21053033	-1.1177381	0.21792261	0.6384146	1.0	6673	tags=29%, list=24%, signal=38%	
CHR4P14	CHR4P14		48	-0.29501435	-1.1132827	0.3148148	0.6436113	1.0	6934	tags=44%, list=24%, signal=58%	
CHRXQ13	CHRXQ13		112	-0.27088028	-1.1087912	0.318872	0.6487062	1.0	9366	tags=38%, list=33%, signal=56%	
CHR20P12	CHR20P12		68	-0.25123394	-1.1086938	0.2567237	0.64089763	1.0	4378	tags=21%, list=15%, signal=24%	
CHR15Q21	CHR15Q21		130	-0.2312628	-1.1049492	0.28149608	0.6436536	1.0	4859	tags=25%, list=17%, signal=30%	
CHR5Q22	CHR5Q22		42	-0.25699413	-1.1019622	0.2774451	0.64380276	1.0	3729	tags=21%, list=13%, signal=25%	
CHR15Q26	CHR15Q26		148	-0.2209836	-1.0839161	0.26077586	0.6920239	1.0	5565	tags=26%, list=20%, signal=33%	
CHR14Q22	CHR14Q22		72	-0.2647647	-1.0790445	0.36032388	0.6984813	1.0	6846	tags=29%, list=24%, signal=38%	
CHR1P13	CHR1P13		157	-0.19211441	-1.0670731	0.3205645	0.72776806	1.0	8802	tags=37%, list=31%, signal=53%	
CHR9Q13	CHR9Q13		32	-0.28411958	-1.0649904	0.3726708	0.72609246	1.0	10232	tags=50%, list=36%, signal=78%	
CHR10P13	CHR10P13		46	-0.24535654	-1.0603949	0.36666667	0.73293245	1.0	4723	tags=24%, list=17%, signal=29%	
CHR7P13	CHR7P13		40	-0.2675907	-1.0551066	0.4016227	0.7403621	1.0	1737	tags=13%, list=6%, signal=13%	
CHR15Q11	CHR15Q11		62	-0.24411608	-1.055055	0.36247334	0.7319449	1.0	11578	tags=61%, list=41%, signal=103%	
CHR2Q23	CHR2Q23		32	-0.26968092	-1.0508364	0.37044534	0.7364669	1.0	3767	tags=28%, list=13%, signal=32%	
CHR11Q21	CHR11Q21		48	-0.24745682	-1.050436	0.3806706	0.72937596	1.0	3900	tags=21%, list=14%, signal=24%	
CHR21Q21	CHR21Q21		65	-0.24860124	-1.0499479	0.37045455	0.7228346	1.0	6073	tags=28%, list=21%, signal=35%	
CHR12Q23	CHR12Q23		114	-0.21583015	-1.0496179	0.35106382	0.71582496	1.0	5552	tags=27%, list=20%, signal=34%	
CHR6Q27	CHR6Q27		53	-0.28337637	-1.047808	0.3991228	0.71377295	1.0	8862	tags=45%, list=31%, signal=66%	
CHR9P22	CHR9P22		30	-0.31042558	-1.0421873	0.40227705	0.7228429	1.0	9578	tags=50%, list=34%, signal=75%	
CHR1Q31	CHR1Q31		50	-0.28715098	-1.0386889	0.39506173	0.7260318	1.0	3856	tags=24%, list=14%, signal=28%	
CHR8Q12	CHR8Q12		53	-0.24493434	-1.0381309	0.4007782	0.71984476	1.0	5721	tags=25%, list=20%, signal=31%	
CHR10P11	CHR10P11		81	-0.22484687	-1.0307081	0.40948275	0.73493063	1.0	9865	tags=38%, list=35%, signal=58%	
CHR6Q15	CHR6Q15		37	-0.26609388	-1.0304781	0.4187643	0.72796714	1.0	2920	tags=19%, list=10%, signal=21%	
CHR2Q36	CHR2Q36		45	-0.25740346	-1.0280527	0.41458333	0.72691894	1.0	6190	tags=31%, list=22%, signal=40%	
CHR11Q22	CHR11Q22		66	-0.23358332	-1.0271467	0.43644068	0.7220824	1.0	4135	tags=20%, list=15%, signal=23%	
CHR16Q24	CHR16Q24		111	-0.24475601	-1.026743	0.421875	0.7159726	1.0	5594	tags=25%, list=20%, signal=31%	
CHR13Q12	CHR13Q12		140	-0.20306896	-1.0236406	0.4088983	0.7175416	1.0	9755	tags=41%, list=34%, signal=62%	
CHR15Q23	CHR15Q23		54	-0.24518926	-1.0216016	0.41048035	0.7165318	1.0	2418	tags=17%, list=9%, signal=18%	
CHR1Q24	CHR1Q24		85	-0.22008808	-1.0212204	0.43568465	0.710683	1.0	4020	tags=20%, list=14%, signal=23%	
CHR4Q31	CHR4Q31		110	-0.22056411	-1.0205945	0.42411643	0.7057135	1.0	9019	tags=38%, list=32%, signal=56%	
CHR7Q21	CHR7Q21		116	-0.20864777	-1.0197166	0.4380531	0.70144695	1.0	5929	tags=25%, list=21%, signal=31%	
CHR1P22	CHR1P22		103	-0.2022131	-1.0072194	0.4569672	0.73001903	1.0	7353	tags=30%, list=26%, signal=40%	
CHR7Q31	CHR7Q31		79	-0.22486976	-1.0019646	0.4916318	0.73838514	1.0	6080	tags=28%, list=21%, signal=35%	
CHR15Q22	CHR15Q22		93	-0.19974972	-0.9855149	0.47572815	0.77930135	1.0	6399	tags=25%, list=23%, signal=32%	
CHR14Q21	CHR14Q21		61	-0.24219562	-0.98517054	0.4524313	0.7730487	1.0	9595	tags=46%, list=34%, signal=69%	
CHR17Q12	CHR17Q12		114	-0.21407133	-0.9850774	0.46398306	0.7662448	1.0	6869	tags=28%, list=24%, signal=37%	
CHR13Q13	CHR13Q13		46	-0.24410503	-0.9837213	0.48554912	0.76305145	1.0	6740	tags=37%, list=24%, signal=48%	
CHR2Q31	CHR2Q31		115	-0.21451515	-0.9811504	0.47022587	0.76316077	1.0	6196	tags=25%, list=22%, signal=32%	
CHR4P15	CHR4P15		89	-0.22456644	-0.97518164	0.5080645	0.7735895	1.0	9071	tags=44%, list=32%, signal=64%	
CHR17Q21	CHR17Q21		330	-0.18698007	-0.9631858	0.557652	0.79977715	1.0	7799	tags=30%, list=27%, signal=41%	
